JXD-139,50375303,6
CRU-009,50375303,5
YYK-309,22777006,3
OTS-581,42157219,5
AWB-345,13245501,1
IHG-413,33397650,3
KQQ-136,97403853,6
OQI-373,78757121,3
PVZ-181,26290971,3
ICX-503,27912250,1
DFF-034,98140264,2
VCL-867,25171011,3
TZY-323,57263719,6
PJG-338,63437380,2
SSD-176,35584593,4
BWD-036,60574154,2
FLJ-040,73535476,4
JDC-028,31193794,1
OTH-462,73185299,3
QIL-029,86828079,5
UWA-476,77484838,1
XOA-735,13245501,5
OBI-353,79901434,6
AWB-345,16552775,6
CSZ-863,57690875,5
UWA-476,73535476,5
MLE-193,87813843,4
UOD-420,95751208,4
KWP-672,87800799,2
BXY-119,20864087,4
KCO-488,46462527,4
PQH-935,71984468,2
GBJ-693,15561764,2
XLF-273,43488351,5
RSE-049,15210391,5
CJE-310,79464412,5
SJQ-827,76388967,5
TKM-141,89148118,6
EBI-299,76388967,5
DFF-034,79140840,3
SSD-176,37110873,1
ZEX-027,43043986,1
OBI-353,73914283,1
SJD-818,41036366,4
GLC-370,28390487,2
YUQ-590,45783712,2
QHC-492,29337157,6
CIM-038,35565959,4
CRU-009,96258632,2
AHB-459,12663268,3
MQR-442,86828079,3
CNN-411,16552775,5
AFL-718,50365593,5
CIM-038,11602775,4
XZR-640,78078115,5
LDR-510,62324793,1
QUU-384,37110873,4
OWN-701,36380447,5
BTO-226,77484838,4
BRD-969,98140264,1
ZEX-027,29337157,3
DFJ-952,84165595,1
RDT-761,84165595,6
TMN-884,88956889,1
FEG-454,59162728,4
JDC-028,50365593,6
JCW-489,69324480,5
KWP-672,46462527,3
VDD-853,49087435,2
ZEX-027,79901434,2
ZVA-180,33713901,6
KQA-580,50375303,5
QUU-384,77642521,5
TKM-141,78922174,5
NMV-644,94080926,5
CIM-038,93845419,5
TYF-885,62566305,4
OQI-373,86402303,3
AHB-459,79901434,3
IDO-503,32565207,6
BCK-361,49087435,3
TYF-885,83505958,5
OPT-996,25171011,6
VVS-017,45877001,4
QUU-384,67418025,1
YOT-530,43053402,2
ISU-815,52097922,5
III-576,63437380,5
LWG-915,50365593,3
BWD-036,57263719,3
AFL-718,78922174,5
AWB-345,63437380,4
YYU-726,12663268,4
JJN-837,11602775,1
ZWF-661,17972674,1
EJW-346,83505958,3
BWD-036,79475585,5
UWA-476,17972674,4
XLF-273,89148118,5
UXG-019,32565207,4
NSM-283,79464412,2
VJI-529,95161027,2
TYF-885,79140840,2
YZD-580,37110873,5
XLF-273,11602775,4
TZY-323,15210391,3
LWG-915,27912250,4
TMN-884,91897732,2
QHC-492,98140264,4
UJV-290,83236386,5
OWN-701,52097922,2
WZD-331,40348917,3
BIT-434,71378466,4
AWT-354,71463316,4
III-576,95161027,5
KCO-488,71463316,5
KCO-488,24995742,4
JFC-432,20864087,1
YOT-530,31611146,4
JFC-432,85949265,4
DFJ-952,77642521,5
QHC-492,53166028,1
PFD-286,90237332,4
MQR-442,83505958,1
JYQ-045,15561764,6
AFL-718,50375303,1
AFL-718,77484838,1
BCK-361,97403853,5
XSD-310,12663268,6
TXM-139,19829266,3
KQA-580,63437380,2
RAH-420,12663268,3
PFD-286,89298238,2
NSM-283,42928709,5
PJG-338,45877001,2
OQI-373,42928709,5
ONB-903,32821689,3
FVQ-662,71378466,2
YYK-309,11602775,3
UDR-957,77484838,3
FYF-898,15561764,2
CIM-038,57690875,3
SPR-580,54716824,3
VVS-017,95161027,5
KWP-672,90365520,6
QHC-492,73185299,3
QFR-958,45783712,3
SJQ-827,49087435,1
DEV-433,54761731,3
MMA-577,43053402,6
ZXK-295,78757121,4
VXS-438,13245501,3
LWG-915,46462527,6
YUQ-590,88956889,2
AQS-362,55552996,1
RSE-049,76388967,6
III-576,60574154,6
UXG-019,55552996,6
VRR-793,87800799,2
EJW-346,78922174,6
BCK-361,80048864,3
AWB-345,25171011,6
FCN-617,22777006,1
AQS-362,42798099,1
QFP-254,90237332,3
DIQ-718,62566305,4
BIT-434,59407188,6
TMN-884,42798099,5
OXP-732,79901434,2
SNY-500,40348917,4
QUU-384,73185299,3
MTF-868,83236386,2
VXS-438,89429489,1
VTV-269,26976877,4
IHG-413,17913944,4
SNY-500,43877279,4
GXF-122,37110873,2
BCN-855,38913831,3
JXD-139,44229880,4
FVQ-662,32565207,5
DUG-251,32904023,4
QJO-060,45828535,6
YMU-875,24995742,3
VRR-793,81114108,4
TYF-885,26290971,3
ADX-669,96659352,4
CJE-310,98140264,3
AFL-718,26976877,5
EBI-299,71463316,6
AFL-718,89148118,1
OPT-996,83236386,2
PVZ-181,90237332,5
WZD-331,16151792,3
RDT-761,80048864,5
TXM-139,94080926,5
KSO-608,40112594,6
CIM-038,73535476,3
FLJ-040,40348917,2
HFM-021,88956889,6
AQS-362,41036366,2
TYF-885,43877279,5
OQI-373,42798099,2
QVJ-982,77191257,5
VRR-793,98589725,1
CIM-038,25171011,1
JDQ-505,20864087,6
III-576,42157219,6
JXD-139,79464412,4
QRC-609,25171011,3
QTK-083,89298238,3
BCN-855,81114108,4
QFP-254,89298238,2
DFF-034,66409237,4
GBD-525,52097922,5
JFC-432,89148118,5
FLJ-040,38637282,6
TMN-884,23928045,2
AWB-345,44679500,1
CNQ-172,16151792,1
UWA-476,37110873,2
JDQ-505,48467976,5
XSD-310,22280452,2
BCK-361,29847168,1
XSD-310,45828535,4
AVM-258,35584593,4
QHC-492,96258632,2
SJD-818,55552996,1
FQG-293,55552996,1
MYC-756,85871751,2
