79464412,PORTUGAL RAFFO ALEXANDER,3902394,10000
16552775,YALLICO PAREDES LOURDES CARMELA,960176666,20000
20864087,ZEGARRA CASANOVA ESTEFANIA,2639311,10000
94326707,CHANG SEGURA ANGEL,984185862,10000
73786035,ORTIZ EPIQUEN HENRY ISRAEL,6873908,20000
31193794,GARCIA YINO AMERICO WALDEMAR,986742314,5000
96659352,BRAVO VIZCARRA ROBERTO,985707065,10000
57690875,NORABUENA VILLEGAS ARTURO RAFAEL,889013091,20000
69975105,VALDERRAMA MENDOZA LUIS ADOLFO,977523461,10000
54761731,LOYOLA IBEROS ANGEL GUSTAVO,951334343,20000
67418025,MOSCOSO SUELDO MARINA,7663823,10000
77642521,SORIA CASTILLO LUIS GUSTAVO,952902679,20000
35584593,LAM VIZCARDO MILAGROS YVONNE,6294058,20000
43053402,BENAVENTE ZIMIC MADELEINE ZKENIA,917252545,5000
84165595,SALAMANCA GAVIDIA ALEX,963178009,10000
89298238,ALFARO PRECIADO JOHNNY,996727505,10000
71984468,IPARRAGUIRRE VILLEGAS NICOLAS EDILBERTO,935441620,20000
29847168,ALDAVE ZEVALLOS ROSARIO,6261108,5000
79475585,RETTO ARCA ANNIE MAGDA,941241092,10000
91897732,GAMARRA ALCOCER VIRGINIA,954025615,20000
33397650,RONDON EGUSQUIZA CARMELA VALENTINA,3911397,10000
83236386,RIVERO CORRALES JUAN FERNANDO,946513105,10000
32821689,ZAVALETA EPIQUEN CARMEN ZKENIA,955248211,10000
45783712,POZO CHUNG RAFAEL DEL,8252118,10000
48184351,LOPEZ JAUREGUI ROLANDO,884716679,20000
33713901,VILLEGAS CASTRO SOFIA VIRGINIA,2339560,10000
76388967,GONZALES QUIO ISABEL,8094909,10000
81114108,ZAMBRANO SHIRAKAWA WILMER,5853087,10000
57263719,PRADO TORREALBA CARMEN JANET,988736554,5000
79140840,TORREALBA ARCA VICTORIA GLENDA,876488179,10000
71378466,MIYAKE CARO HENRRY EDGAR,921051207,10000
17913944,PALOMARES SANTISTEBAN HENRRY,967944433,5000
62566305,ROMERO ALFARO MONICA JOHANA,8206363,10000
46462527,LOYOLA MORI NICOLAS FERNANDO,5865695,5000
79420973,AURIS JOLAY DIANA,7073267,5000
22777006,ASMAD PINTO MARIA LORENA,939918070,10000
43877279,RARAZ SUCHERO ADOLFO,4105386,5000
73535476,AYALA SANCHEZ MARIA TERESA,892714088,10000
26976877,TORO CUBA DIALY DIANA,2748661,10000
78078115,TSUKAZAN AMEZQUITA DELIA,905818632,5000
48467976,BENITES SANCHEZ MARGOT DELICIA,4888316,5000
41036366,JUSTINO LOYOLA JENNY MAGDA,5939760,5000
31611146,LANDEO LARRIEGA MARTIN,8566657,10000
64394265,SALAZAR GONZALES DAVID RAFAEL,938884629,5000
50365593,SUAREZ BRAVO MARIELLA TATIANA,965004473,10000
95751208,CORONEL ZEGARRA FIORELLA,925608637,5000
79372768,BERROCAL YALLICO ANNIE SOFIA,897157366,10000
27912250,CUBA CHUNG ISRAEL EDILBERTO,2489481,10000
60574154,LOZADA GONZALES JAIME,962838234,20000
35565959,VILCARA RODRIGUEZ ANNIE,7272527,5000
80048864,JUSTINO CASTILLO SANDRO CHRISTIAN,929077160,5000
