6/04/2024,864-13-9865,S Valadez,03:54:00,36.8,121,99,05:33:10,Ginecologia
25/06/2024,285-69-9065,B Duinkerk,21:11:00,39.4,154,66,21:21:42,Traumatologia
15/08/2023,196-80-7773,G Whimper,06:55:00,39.3,177,69,09:06:23,Dermatologia
11/10/2023,420-73-7015,T Stenner,08:23:00,38.8,156,94,08:48:34,Oncologia
14/06/2024,824-26-7312,N Siuda,09:46:00,37.7,158,94,12:01:03,Oftalmologia
28/05/2024,799-77-3442,H Hamlyn,03:22:00,37.6,116,82,06:14:23,Oftalmologia
22/06/2024,183-04-5484,D Ancell,16:24:00,38.8,172,99,16:28:34,Oftalmologia
29/07/2024,452-90-0527,X Stronack,01:57:00,39.7,97,79,02:11:54,Pediatria
18/03/2024,106-91-2707,D Hark,13:46:00,37.1,133,68,16:08:41,Oncologia
13/05/2024,386-86-0028,L Rebeiro,05:15:00,35.7,129,84,07:45:09,Traumatologia
2/11/2023,744-88-0950,W Grove,02:37:00,36.2,172,84,04:53:08,Dermatologia
27/05/2024,201-17-2250,H Llewelyn,08:18:00,37.8,104,103,10:43:26,Ginecologia
6/09/2023,421-46-0418,I Lawleff,01:33:00,36.2,97,67,02:27:34,Urologia
23/03/2024,659-65-1419,G Winkle,05:46:00,35.5,165,73,06:57:55,Oncologia
1/10/2023,240-32-0217,D Jayes,18:53:00,36.3,122,95,19:34:11,Geriatria
17/10/2023,111-90-3138,P Claige,21:29:00,37.8,163,98,23:20:37,Traumatologia
12/03/2024,166-10-4126,M Nockalls,10:41:00,36.4,120,76,11:09:29,Endocrinologia
29/07/2024,467-76-2120,J Flarity,12:09:00,38.9,140,93,13:41:17,Pediatria
28/06/2024,550-40-6794,Q Ludye,20:30:00,36.9,171,60,20:49:44,Traumatologia
21/10/2023,592-21-1803,Y Saladine,01:01:00,38.5,143,63,02:42:39,Pediatria
29/05/2024,511-67-6488,X Coyish,07:02:00,39.3,139,93,07:17:07,Pediatria
15/04/2024,744-31-9326,E Pettyfer,14:12:00,39.6,96,109,16:17:46,Geriatria
12/09/2024,723-91-6052,V Alday,08:50:00,36.8,174,106,10:11:57,Urologia
6/08/2023,847-95-6147,F Kilgallen,07:42:00,38.6,134,103,09:06:38,Urologia
30/09/2023,381-07-9458,P Lepope,09:31:00,37.8,162,102,10:18:33,Traumatologia
16/04/2024,197-06-5889,O Stillert,17:58:00,38.3,138,81,19:18:40,Neumologia
16/05/2024,393-52-8450,I Lauritsen,14:16:00,38.2,103,103,16:47:05,Dermatologia
19/10/2023,425-47-5893,O Scotson,15:22:00,39.5,93,71,17:13:24,Oncologia
17/10/2023,551-77-8367,O Dorkin,10:28:00,37.2,112,83,11:21:44,Cardiologia
29/07/2024,793-24-9525,H Flint,10:55:00,38,178,77,11:32:14,Gastroenterologia
6/06/2024,293-87-7863,Q Mulliss,05:43:00,36.2,96,105,06:27:06,Traumatologia
16/04/2024,804-28-9814,I Reace,21:16:00,38.8,140,84,23:46:17,Traumatologia
2/04/2024,697-02-7197,H Tregien,01:30:00,39.3,169,66,01:59:28,Ginecologia
8/06/2024,463-65-5530,N Landsborough,21:05:00,36.6,152,98,23:53:31,Ginecologia
26/06/2024,736-84-8737,D Spraging,00:19:00,36.6,169,90,00:43:11,Urologia
28/07/2023,488-25-0630,C O'Hickey,18:20:00,38.1,124,62,19:41:55,Ginecologia
29/07/2023,361-20-0157,O Hrinishin,03:22:00,38.7,119,69,06:06:52,Geriatria
12/06/2024,514-44-5278,V Dominelli,07:52:00,36.3,92,64,09:28:14,Cardiologia
7/06/2023,595-33-7472,V Vaughn,03:24:00,40,132,94,03:32:22,Oftalmologia
25/07/2024,577-71-3589,X Nutbeem,04:07:00,37.5,127,66,04:41:55,Oncologia
13/06/2024,362-55-7521,F Jenoure,18:16:00,36.3,136,100,21:10:45,Gastroenterologia
13/06/2024,693-24-9026,Q Sayers,18:18:00,37.4,158,106,20:34:37,Dermatologia
15/05/2024,451-55-0085,U Izard,02:55:00,38.3,143,82,03:30:43,Neumologia
27/04/2024,669-90-6148,F Bratchell,11:49:00,39.4,162,74,14:20:43,Pediatria
12/09/2024,871-63-8322,C Lawlie,21:12:00,37.3,139,91,23:28:41,Urologia
14/09/2023,617-41-0266,S Dabourne,10:42:00,36.2,104,92,12:19:56,Traumatologia
24/05/2024,677-14-1863,B Carvilla,09:35:00,37.7,132,70,11:01:23,Ginecologia
8/04/2024,310-56-4783,R Kase,17:04:00,35.7,150,107,17:44:27,Ginecologia
27/09/2023,899-68-9474,D Hucklesby,14:27:00,35.8,113,92,16:47:53,Oftalmologia
23/09/2023,310-24-6292,L Gatheridge,11:44:00,36.4,115,62,13:30:31,Pediatria
31/03/2024,249-43-7801,T Harverson,17:04:00,36.2,170,101,19:28:39,Oncologia
27/06/2024,823-21-4024,O Lukasen,19:41:00,35.6,143,65,22:22:09,Urologia
4/08/2023,358-68-5495,E Mildmott,22:18:00,35.8,105,62,22:26:05,Traumatologia
9/10/2023,728-85-5305,I Biagini,17:26:00,36.2,172,102,17:54:55,Gastroenterologia
29/10/2023,724-10-8138,N Waple,04:25:00,35.7,156,62,07:14:09,Oncologia
19/10/2023,376-97-1223,W Greenier,22:52:00,38.5,133,78,23:45:06,Oftalmologia
29/06/2024,466-80-6058,O Crimes,19:42:00,37.1,177,67,21:29:49,Oncologia
22/08/2023,607-91-4614,Z Florez,01:15:00,37.1,177,78,03:37:15,Dermatologia
15/03/2024,337-32-9874,C Caccavella,17:55:00,38,164,105,18:29:10,Urologia
11/04/2023,204-94-7733,V Newband,22:55:00,37.9,90,85,23:11:31,Ginecologia
4/06/2024,435-83-6917,S Nemchinov,10:08:00,35.6,172,84,12:22:59,Oftalmologia
6/04/2024,389-69-8333,O Barthrop,09:56:00,38.8,134,81,11:34:36,Ginecologia
2/06/2024,310-75-2760,B Mayhow,05:52:00,37.9,165,102,07:48:50,Cardiologia
1/04/2024,325-65-7104,D Golding,21:53:00,39.1,177,71,22:27:32,Traumatologia
31/05/2024,800-88-0642,Y Sorel,04:27:00,37.2,179,98,05:13:45,Urologia
8/05/2024,829-82-4394,C MacGowing,13:26:00,37.5,101,96,13:37:26,Pediatria
28/06/2024,522-78-1715,L Philipart,22:03:00,37.2,170,75,23:49:58,Geriatria
26/05/2023,546-70-9687,L Westnedge,09:27:00,35.8,148,70,11:30:58,Geriatria
8/06/2023,509-82-3979,J Gamlen,00:40:00,37.2,136,96,02:27:47,Oncologia
7/06/2024,433-30-7441,E Binham,10:43:00,37.1,122,104,11:20:51,Pediatria
27/09/2023,421-31-7038,H Jurczak,18:30:00,36,176,97,21:03:57,Traumatologia
2/11/2023,545-10-8265,D Flag,10:13:00,35.9,164,85,12:45:31,Oncologia
28/07/2024,447-04-3850,F Lukianov,02:11:00,36.9,108,63,04:07:41,Dermatologia
27/10/2023,265-25-7984,C Nell,04:13:00,36,130,72,05:10:04,Geriatria
16/05/2024,615-52-5411,W Casbolt,00:44:00,39.2,122,82,03:42:31,Cardiologia
4/06/2024,246-69-5313,O Pharaoh,03:02:00,37.1,90,86,03:58:49,Endocrinologia
21/09/2023,351-50-7892,N Eastam,19:46:00,39.1,119,72,20:43:58,Urologia
30/05/2024,787-59-4271,N McCole,15:14:00,37,90,91,15:57:01,Endocrinologia
23/10/2023,879-93-8813,B Waddell,19:15:00,36.3,104,63,19:46:54,Ginecologia
30/09/2023,425-64-6539,T Evason,09:33:00,39.9,166,75,10:19:06,Ginecologia
1/06/2023,312-76-3868,Z O'Doherty,18:31:00,38.6,136,82,20:23:23,Dermatologia
27/05/2024,623-61-9841,X Lewsy,09:12:00,39.7,172,70,11:13:46,Neumologia
1/11/2023,337-67-0209,Z Fraczak,20:08:00,36.1,121,97,23:00:16,Cardiologia
8/10/2023,591-36-6992,C Beauchop,12:29:00,38.8,95,84,13:27:18,Geriatria
27/05/2024,535-11-6082,X Grout,07:49:00,35.8,170,86,09:47:21,Oncologia
11/04/2023,142-10-3821,U Oxenham,21:35:00,35.6,107,85,23:59:31,Dermatologia
15/04/2023,749-39-3053,Y Minchella,03:22:00,38.4,99,78,05:59:32,Neumologia
3/06/2023,213-83-0677,O Rundall,00:07:00,38.7,146,84,01:31:24,Neumologia
25/10/2023,613-08-2623,U Portis,12:20:00,37.3,136,84,14:14:36,Urologia
24/05/2023,776-96-5871,C Giffen,01:50:00,37.4,115,105,02:44:11,Gastroenterologia
16/05/2024,193-77-7514,I Trigwell,11:02:00,36.3,158,75,11:29:54,Dermatologia
1/11/2023,362-55-6622,G Sousa,16:06:00,38.4,133,71,17:57:21,Endocrinologia
24/09/2024,873-06-2405,X Dohms,04:41:00,39.4,138,67,04:52:50,Oncologia
13/03/2024,620-22-0920,T Hursey,06:28:00,35.9,143,70,08:02:44,Dermatologia
30/05/2024,403-08-7603,J Horley,07:53:00,36.2,141,91,09:37:16,Oncologia
9/05/2024,255-46-2640,K Kinglesyd,01:51:00,38.6,154,75,02:58:33,Endocrinologia
5/04/2023,777-08-7046,J Follan,04:31:00,39,96,61,07:22:30,Ginecologia
11/05/2024,858-24-9963,K Golds,09:11:00,38,137,70,12:00:54,Endocrinologia
2/04/2024,211-84-0802,C Baldcock,21:10:00,38.1,130,91,23:37:25,Urologia
26/09/2023,779-16-6027,C Fardo,07:23:00,37.4,127,86,10:16:34,Cardiologia
27/05/2024,407-66-8499,W Bester,11:27:00,39.2,110,81,13:14:07,Neumologia
11/05/2024,345-35-5116,Y Jahnisch,23:05:00,37.6,130,78,23:49:17,Gastroenterologia
17/05/2024,419-40-1713,P Standring,15:12:00,36.7,113,100,17:37:50,Oftalmologia
23/04/2024,580-28-6655,E Christer,04:01:00,37.9,158,103,04:52:49,Endocrinologia
23/03/2024,744-36-1390,F Lambarton,07:44:00,39.3,94,83,08:51:54,Traumatologia
11/05/2024,400-48-7366,H Mattioli,03:33:00,38.3,166,63,06:03:54,Ginecologia
7/11/2023,620-35-3794,M Kubelka,00:21:00,38.8,113,107,02:16:16,Urologia
14/10/2023,242-79-8906,J Gavozzi,17:31:00,36,167,94,19:53:05,Urologia
27/09/2023,121-69-0476,N Thompkins,10:49:00,39.9,92,96,11:23:32,Cardiologia
25/07/2024,358-64-0690,C Jerrim,17:31:00,37.9,179,103,19:26:25,Gastroenterologia
23/09/2023,821-52-5812,X Lewsy,05:30:00,39.3,149,63,06:35:27,Pediatria
14/06/2024,528-14-7644,Z Huntingdon,04:56:00,38.1,132,65,05:09:08,Neumologia
4/05/2024,153-51-8349,X Mancktelow,22:08:00,35.8,99,77,23:26:08,Pediatria
6/05/2024,593-38-9878,H Atheis,18:42:00,39.2,100,60,21:06:11,Ginecologia
