F,79464412,K0D-676,300,1,3
F,16552775,S7E-946,300,2,3
C,20864087,O5L-856,1000,2,6
C,94326707,U3F-754,1000,2,8
F,73786035,O4X-500,300,2,3
C,31193794,T3B-722,1200,2,6
C,96659352,T1K-210,1000,2,6
C,57690875,O7D-970,1000,3,8
F,69975105,N5J-515,300,1,3
C,54761731,K6X-977,1200,3,6
C,67418025,W9Y-717,1000,3,8
C,77642521,W8F-397,1000,3,6
C,35584593,I0K-077,1000,3,6
F,43053402,L3N-150,400,1,3
C,84165595,J0Q-121,1000,3,6
C,89298238,E6T-667,1500,3,8
F,71984468,J7Y-327,300,1,3
C,29847168,H7P-047,1500,3,6
F,79475585,W6Z-142,300,2,1
C,91897732,C3A-423,1000,3,6
C,33397650,H6H-085,1000,3,6
F,83236386,O3T-110,300,2,1
F,32821689,I0E-459,300,1,2
F,45783712,H8M-598,300,1,2
C,48184351,W2L-827,1000,3,8
F,33713901,L4B-291,400,2,2
C,76388967,J2F-853,1000,3,6
C,81114108,W7R-114,1000,3,6
F,57263719,J2K-636,300,2,1
C,79140840,T9L-709,1000,3,8
C,71378466,J8D-125,1000,3,6
F,17913944,F1H-328,300,1,1
C,62566305,C4O-436,1000,3,8
C,46462527,R8O-904,1000,3,6
C,79420973,L2H-207,1000,3,6
F,22777006,M8Q-758,300,1,2
C,43877279,K5K-595,1000,3,6
F,73535476,W3T-571,300,1,3
C,26976877,B7V-643,1000,3,6
C,78078115,P7I-760,1000,3,6
F,48467976,A6D-661,300,1,1
C,41036366,H1W-140,1000,3,6
F,31611146,S1D-093,300,1,1
F,64394265,U5N-536,300,1,1
C,50365593,G6I-762,1000,3,6
F,95751208,A8J-929,300,1,2
C,79372768,P2Q-870,1000,3,6
C,27912250,M0X-657,1000,3,8
C,60574154,J2M-606,1000,3,6
C,35565959,L8A-167,1000,3,8
C,80048864,H2K-127,1000,3,6
C,96258632,Y9F-491,1200,3,8
C,94080926,D6W-048,1000,3,8
C,42157219,T7F-869,1000,3,6
C,86241107,L3W-411,1000,3,6
F,26290971,V9J-051,300,1,2
C,22280452,U5L-205,1200,3,8
C,90365520,M4Z-108,1000,3,8
C,40348917,M8W-853,1000,3,8
C,95161027,B4R-105,1000,3,6
C,77191257,I0Y-720,1000,3,6
C,62324793,P5B-640,1000,3,6
F,16151792,L6Z-161,300,1,2
F,66409237,Y4Y-028,300,2,2
C,63437380,K1F-766,1000,3,6
C,95015539,F1F-571,1200,3,6
C,25171011,M7F-612,1000,3,6
C,90237332,L6D-758,1000,3,6
C,87800799,N4J-043,1000,3,6
C,38637282,X8U-894,1000,3,6
F,15561764,N9Q-814,300,1,2
C,45877001,A7Y-833,1000,3,6
C,87813843,E1N-544,1500,3,6
C,78757121,T0V-569,1000,3,6
C,53166028,P7T-999,1000,3,6
C,15210391,I5K-310,1000,3,6
C,89429489,S6Y-726,1000,3,6
C,43488351,T5L-371,1000,3,8
C,73185299,L4O-783,1000,3,6
C,36380447,D2V-055,1000,3,6
C,97403853,I0W-872,1000,3,8
F,13245501,U6A-456,300,2,2
C,89148118,R8H-409,1000,3,8
C,93845419,S4J-282,1000,3,8
C,19829266,E1J-798,1000,3,6
C,26233063,W1S-239,1000,3,8
C,78922174,P6I-223,1200,3,8
C,42798099,N5Y-450,1000,3,6
C,79901434,D6F-465,1000,3,6
C,50375303,D5W-953,1200,3,6
C,55552996,G0F-080,1000,3,6
C,45828535,C0G-556,1200,3,6
C,44229880,V4I-691,1200,3,6
C,59162728,C2S-070,1000,3,6
F,88995291,V7P-711,400,2,2
C,73914283,F3E-797,1000,3,6
F,44679500,R7U-941,300,2,2
F,59407188,D9A-711,300,2,3
C,27635082,O8J-848,1000,3,6
C,54716824,V9F-655,1000,3,6
F,40112594,T8Y-354,300,2,3
C,37110873,R0P-255,1000,3,6
C,83505958,P7E-145,1000,3,6
C,85871751,E3U-231,1000,3,6
C,11602775,D8R-235,1000,3,6
C,86402303,H6X-124,1000,3,8
F,23928045,H8S-849,300,2,3
C,12663268,U0T-459,1500,3,8
C,42928709,R5C-239,1000,3,8
C,85949265,N2C-590,1000,3,8
C,17972674,B4I-014,1000,3,6
F,38913831,C0S-417,300,1,3
C,36008913,T9A-930,1000,2,6
C,49087435,I1D-713,1200,2,6
C,58187172,O4X-603,1000,2,6
F,69324480,S9I-160,300,1,3
C,32565207,D7L-648,1000,2,8
F,71463316,N1O-921,300,1,2
F,86828079,W1C-444,300,1,1
F,29337157,M1E-751,300,1,1
F,32904023,T6W-978,400,1,2
F,28390487,I3A-223,300,1,2
C,98589725,H3E-885,1000,2,8
C,77484838,N0Z-560,1000,2,8
C,88956889,B3U-845,1000,2,8
C,89863424,Y9G-536,1000,2,6
F,99842319,N6D-256,300,1,2
F,98140264,Z4L-514,400,1,2
F,69639726,Q5S-871,300,2,3
F,93160528,E0I-722,300,2,3
C,24995742,X9D-758,1000,2,6
C,43043986,V7O-315,1000,2,6
C,52097922,A1Q-612,1000,2,6
